Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
25-34,Yes,Travel_Rarely,below 500,Research & Development,> 20km,3,Life Sciences,1,19,3,Male,40 - 70,2,1,Laboratory Technician,3,Single,"< 5,000",12947,3 - 5 years,Y,Yes,14,3,2,80,0,6,4,3,3 - 5 years,2,0,3
25-34,No,Travel_Rarely," >1,000",Research & Development,> 20km,4,Life Sciences,1,20,2,Female,40 - 70,4,3,Manufacturing Director,1,Divorced,"5,000 - 10,000",10195,> 2 ,Y,No,11,3,3,80,1,10,1,3, 6 - 12 years,9,8,8
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,2,Life Sciences,1,21,1,Male,> 70,4,1,Research Scientist,2,Divorced,"< 5,000",15053,> 2 ,Y,Yes,12,3,4,80,2,7,5,2, 6 - 12 years,2,0,5
<25,No,Non-Travel," >1,000",Research & Development,10 - 20 km,2,Medical,1,22,4,Male,> 70,4,1,Laboratory Technician,4,Divorced,"< 5,000",7324,> 2 ,Y,Yes,13,3,2,80,2,1,2,2,< 2 years,0,0,0
45-54,No,Travel_Rarely," >1,000",Sales,< 10 km,4,Life Sciences,1,23,1,Female,> 70,2,4,Manager,4,Married,">10,000",22021,> 2 ,Y,No,16,3,3,80,0,31,3,3,> 12 years,8,3,7
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,24,4,Male,40 - 70,3,1,Research Scientist,4,Single,"< 5,000",4306,3 - 5 years,Y,Yes,11,3,3,80,0,6,3,3,3 - 5 years,2,1,2
<25,No,Non-Travel,500 - 1000,Research & Development,10 - 20 km,2,Other,1,26,1,Female,> 70,4,2,Manufacturing Director,3,Divorced,"< 5,000",8232,> 2 ,Y,No,18,3,4,80,1,5,5,2,3 - 5 years,2,1,3
35-44,Yes,Travel_Rarely," >1,000",Sales,< 10 km,4,Life Sciences,1,27,3,Male,> 70,2,1,Sales Representative,1,Single,"< 5,000",6986,> 5 years,Y,No,23,4,2,80,0,10,4,3,3 - 5 years,3,0,3
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,4,Life Sciences,1,28,1,Female,40 - 70,3,3,Research Director,2,Single,">10,000",21293,> 2 ,Y,No,11,3,3,80,0,13,4,3, 6 - 12 years,6,2,11
<25,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,2,Life Sciences,1,30,3,Male,> 70,3,1,Research Scientist,4,Single,"< 5,000",19281,> 2 ,Y,No,14,3,4,80,0,0,6,3,< 2 years,0,0,0
25-34,Yes,Travel_Rarely,500 - 1000,Research & Development,< 10 km,1,Medical,1,31,2,Male,> 70,3,1,Research Scientist,1,Single,"< 5,000",17102,> 2 ,Y,No,11,3,3,80,0,8,2,3,3 - 5 years,2,1,3
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Other,1,32,3,Female,40 - 70,3,5,Manager,3,Divorced,">10,000",10735,3 - 5 years,Y,No,11,3,4,80,1,26,3,2,> 12 years,13,4,8
25-34,Yes,Travel_Frequently," >1,000",Research & Development,10 - 20 km,1,Life Sciences,1,33,2,Female,> 70,1,1,Research Scientist,1,Single,"< 5,000",4681,> 2 ,Y,Yes,22,4,2,80,0,10,5,3, 6 - 12 years,2,6,7
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,4,Marketing,1,35,3,Male,40 - 70,3,2,Sales Executive,2,Married,"5,000 - 10,000",21173,> 2 ,Y,No,11,3,4,80,1,10,2,3, 6 - 12 years,7,4,2
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,4,Medical,1,36,1,Female,40 - 70,2,3,Healthcare Representative,4,Married,">10,000",2094,> 5 years,Y,No,14,3,4,80,1,24,4,3,> 12 years,6,5,17
45-54,No,Travel_Rarely,500 - 1000,Sales,< 10 km,4,Marketing,1,38,2,Female,> 70,3,5,Manager,1,Single,">10,000",22822,> 5 years,Y,No,12,3,4,80,0,22,2,2,< 2 years,2,2,1
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Medical,1,39,3,Male,> 70,3,1,Laboratory Technician,4,Single,"< 5,000",6670,3 - 5 years,Y,No,11,3,4,80,0,7,3,3,< 2 years,1,0,0
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Other,1,40,4,Male,40 - 70,3,2,Healthcare Representative,4,Married,"5,000 - 10,000",19121,> 2 ,Y,Yes,13,3,4,80,0,9,5,4,3 - 5 years,2,1,3
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,2,Medical,1,41,4,Male,> 70,2,1,Laboratory Technician,3,Single,"< 5,000",16117,> 2 ,Y,No,13,3,1,80,0,10,5,3, 6 - 12 years,0,1,8
35-44,Yes,Travel_Rarely,500 - 1000,Sales,< 10 km,3,Technical Degree,1,42,4,Male,40 - 70,3,2,Sales Representative,4,Married,"< 5,000",3335,> 5 years,Y,No,14,3,3,80,1,19,6,4,< 2 years,0,0,0
<25,Yes,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Medical,1,45,2,Male,40 - 70,3,1,Research Scientist,4,Married,"< 5,000",3020,> 2 ,Y,Yes,16,3,1,80,1,6,2,2,< 2 years,0,2,0
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,2,Medical,1,46,4,Female,> 70,4,1,Research Scientist,3,Divorced,"< 5,000",21923,> 2 ,Y,No,12,3,4,80,2,6,3,2,3 - 5 years,3,1,4
45-54,Yes,Travel_Rarely,500 - 1000,Sales,< 10 km,2,Marketing,1,47,1,Male,> 70,2,1,Sales Representative,3,Married,"< 5,000",3810,> 2 ,Y,Yes,14,3,3,80,0,3,2,3,3 - 5 years,2,0,2
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,3,Marketing,1,49,4,Female,> 70,3,1,Sales Representative,4,Married,"< 5,000",9687,> 2 ,Y,No,13,3,1,80,0,2,3,3,< 2 years,2,2,2
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,51,2,Female,> 70,2,1,Research Scientist,1,Married,"< 5,000",13072,> 5 years,Y,Yes,14,3,4,80,1,6,3,4,< 2 years,1,0,0
25-34,No,Travel_Frequently," >1,000",Sales,< 10 km,3,Life Sciences,1,52,3,Female,40 - 70,4,2,Sales Executive,1,Married,"5,000 - 10,000",3193,> 2 ,Y,No,19,3,1,80,2,10,3,3,3 - 5 years,3,1,3
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,2,Other,1,53,3,Male,> 70,3,1,Laboratory Technician,4,Divorced,"< 5,000",10910,> 2 ,Y,No,12,3,3,80,1,1,3,3,< 2 years,0,0,0
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Life Sciences,1,54,4,Female,<40,3,1,Laboratory Technician,1,Divorced,"< 5,000",19715,> 2 ,Y,No,13,3,4,80,1,1,6,3,< 2 years,0,0,0
25-34,Yes,Travel_Rarely," >1,000",Research & Development,> 20km,3,Life Sciences,1,55,1,Male,40 - 70,1,1,Laboratory Technician,3,Single,"< 5,000",10558,> 2 ,Y,No,12,3,3,80,0,1,2,2,< 2 years,0,0,1
25-34,No,Travel_Frequently,500 - 1000,Sales,< 10 km,3,Life Sciences,1,56,4,Male,<40,3,3,Sales Executive,3,Single,"5,000 - 10,000",2975,> 2 ,Y,No,15,3,4,80,0,9,0,3, 6 - 12 years,8,1,7
25-34,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,2,Medical,1,57,3,Female,40 - 70,3,2,Laboratory Technician,4,Single,"< 5,000",10781,> 2 ,Y,No,23,4,4,80,0,12,2,3, 6 - 12 years,8,3,7
35-44,Yes,Travel_Rarely," >1,000",Research & Development,10 - 20 km,3,Technical Degree,1,58,2,Female,40 - 70,3,5,Research Director,3,Married,">10,000",16280,> 2 ,Y,No,12,3,4,80,0,23,0,3,> 12 years,15,15,8
25-34,No,Non-Travel," >1,000",Sales,> 20km,4,Marketing,1,60,2,Male,> 70,3,2,Sales Executive,3,Single,"< 5,000",10034,> 2 ,Y,No,20,4,3,80,0,10,2,3, 6 - 12 years,5,8,7
35-44,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,2,Life Sciences,1,61,2,Male,> 70,3,1,Research Scientist,2,Married,"< 5,000",10227,3 - 5 years,Y,No,21,4,1,80,0,8,1,3,< 2 years,0,0,0
45-54,No,Travel_Frequently," >1,000",Sales,< 10 km,4,Marketing,1,62,1,Male,> 70,3,2,Sales Executive,4,Single,"5,000 - 10,000",20445,3 - 5 years,Y,Yes,21,4,3,80,0,14,4,3, 6 - 12 years,6,0,8
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,1,Life Sciences,1,63,4,Male,<40,4,1,Laboratory Technician,4,Married,"< 5,000",4892,> 2 ,Y,No,19,3,4,80,0,1,2,3,< 2 years,0,0,1
45-54,Yes,Travel_Rarely,500 - 1000,Research & Development,< 10 km,2,Life Sciences,1,64,1,Male,> 70,2,3,Laboratory Technician,3,Single,"5,000 - 10,000",19294,> 5 years,Y,Yes,13,3,4,80,0,23,2,3,< 2 years,0,0,0
25-34,Yes,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Technical Degree,1,65,3,Male,40 - 70,3,1,Laboratory Technician,3,Single,"< 5,000",11179,> 2 ,Y,Yes,13,3,3,80,0,2,3,2,< 2 years,2,2,2
35-44,No,Travel_Rarely," >1,000",Sales,< 10 km,5,Marketing,1,68,2,Female,> 70,3,2,Sales Executive,1,Divorced,"5,000 - 10,000",4009,3 - 5 years,Y,Yes,21,4,3,80,1,9,2,2,3 - 5 years,3,1,3
35-44,No,Non-Travel," >1,000",Research & Development,10 - 20 km,2,Medical,1,70,3,Male,> 70,2,3,Healthcare Representative,1,Married,"5,000 - 10,000",8302,> 2 ,Y,Yes,13,3,3,80,1,10,3,3,3 - 5 years,0,2,3
25-34,No,Travel_Rarely," >1,000",Sales,> 20km,3,Marketing,1,72,3,Female,40 - 70,2,2,Sales Executive,4,Married,"< 5,000",21436,> 5 years,Y,Yes,19,3,3,80,1,5,2,2,< 2 years,2,0,0
25-34,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,2,Life Sciences,1,73,1,Female,> 70,3,3,Research Director,4,Single,">10,000",15146,> 2 ,Y,Yes,12,3,3,80,0,15,1,3,> 12 years,14,8,12
35-44,No,Travel_Frequently,500 - 1000,Sales,10 - 20 km,5,Life Sciences,1,74,2,Male,> 70,3,3,Sales Executive,1,Married,"5,000 - 10,000",11031,> 2 ,Y,No,22,4,4,80,1,9,3,2, 6 - 12 years,8,1,8
35-44,No,Travel_Rarely," >1,000",Research & Development,> 20km,4,Medical,1,75,3,Female,<40,3,1,Laboratory Technician,1,Married,"< 5,000",16002,> 5 years,Y,Yes,15,3,3,80,1,4,3,3,< 2 years,2,2,2
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,76,4,Male,40 - 70,3,2,Laboratory Technician,4,Divorced,"5,000 - 10,000",9528,> 5 years,Y,No,22,4,4,80,1,10,3,2, 6 - 12 years,7,1,7
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Life Sciences,1,77,1,Male,40 - 70,2,2,Manufacturing Director,3,Divorced,"5,000 - 10,000",2689,> 2 ,Y,No,18,3,3,80,1,7,2,4, 6 - 12 years,5,0,7
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Medical,1,78,1,Male,<40,3,2,Manufacturing Director,4,Married,"5,000 - 10,000",10877,> 2 ,Y,Yes,22,4,2,80,1,9,3,3, 6 - 12 years,8,7,8
35-44,No,Travel_Frequently,500 - 1000,Research & Development,> 20km,5,Life Sciences,1,79,4,Female,40 - 70,3,2,Laboratory Technician,4,Single,"< 5,000",5456,> 2 ,Y,No,11,3,4,80,0,10,2,3, 6 - 12 years,3,9,9
45-54,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,2,Medical,1,80,2,Female,40 - 70,2,5,Research Director,3,Divorced,">10,000",16701,3 - 5 years,Y,Yes,12,3,4,80,1,29,2,2,> 12 years,3,13,8
>55,No,Travel_Rarely," >1,000",Sales,> 20km,3,Life Sciences,1,81,1,Female,> 70,3,3,Sales Executive,1,Single,"5,000 - 10,000",2354,> 5 years,Y,No,11,3,4,80,0,28,3,2,> 12 years,16,7,9
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Technical Degree,1,83,3,Female,40 - 70,3,3,Healthcare Representative,3,Divorced,">10,000",8202,> 2 ,Y,No,13,3,2,80,3,17,2,3,> 12 years,14,12,8
>55,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Medical,1,84,4,Female,<40,3,4,Manager,3,Divorced,">10,000",19730,> 2 ,Y,Yes,14,3,3,80,3,21,2,3,3 - 5 years,0,0,2
35-44,No,Travel_Frequently," >1,000",Research & Development,10 - 20 km,3,Life Sciences,1,85,2,Male,> 70,2,2,Manufacturing Director,2,Single,"5,000 - 10,000",22656,> 2 ,Y,No,13,3,3,80,0,6,3,3, 6 - 12 years,5,0,3
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Life Sciences,1,86,2,Male,40 - 70,3,3,Research Scientist,1,Divorced,"5,000 - 10,000",18787,> 2 ,Y,No,17,3,3,80,1,25,2,3,< 2 years,0,0,0
35-44,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,3,Medical,1,88,2,Male,> 70,3,1,Research Scientist,1,Married,"< 5,000",5868,3 - 5 years,Y,No,13,3,4,80,1,5,2,2,3 - 5 years,2,1,2
35-44,Yes,Travel_Rarely,below 500,Research & Development,< 10 km,3,Medical,1,90,4,Male,> 70,2,1,Research Scientist,3,Married,"< 5,000",21777,> 2 ,Y,Yes,17,3,1,80,1,2,0,2,< 2 years,0,0,0
>55,No,Travel_Frequently," >1,000",Sales,< 10 km,1,Life Sciences,1,91,1,Female,40 - 70,2,2,Sales Executive,3,Single,"5,000 - 10,000",24668,> 5 years,Y,No,11,3,4,80,0,20,2,2,3 - 5 years,3,1,3
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Life Sciences,1,94,3,Male,> 70,3,1,Research Scientist,2,Married,"< 5,000",4956,> 2 ,Y,No,23,4,4,80,1,6,3,3,3 - 5 years,4,0,4
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Medical,1,95,3,Male,> 70,3,1,Research Scientist,2,Single,"< 5,000",18775,> 2 ,Y,No,17,3,2,80,0,1,4,3,< 2 years,1,1,0
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,96,2,Male,40 - 70,3,2,Research Scientist,2,Married,"5,000 - 10,000",7346,> 2 ,Y,No,17,3,2,80,2,10,3,3, 6 - 12 years,4,0,9
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,97,2,Female,40 - 70,4,1,Laboratory Technician,4,Married,"< 5,000",22002,> 5 years,Y,No,12,3,2,80,0,5,3,3,< 2 years,0,0,0
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,98,3,Female,40 - 70,3,2,Manufacturing Director,4,Single,"< 5,000",20682,> 2 ,Y,No,23,4,4,80,0,11,2,3, 6 - 12 years,7,1,8
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,4,Marketing,1,100,3,Male,<40,2,2,Sales Executive,1,Single,"< 5,000",23016,> 2 ,Y,No,14,3,2,80,0,16,2,3,> 12 years,13,2,8
45-54,No,Travel_Rarely,below 500,Research & Development,< 10 km,4,Other,1,101,4,Male,40 - 70,3,3,Research Director,1,Married,">10,000",15067,3 - 5 years,Y,Yes,14,3,2,80,0,17,3,4,< 2 years,0,0,0
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,4,Medical,1,102,1,Male,<40,3,3,Research Director,3,Single,">10,000",25258,3 - 5 years,Y,No,13,3,1,80,0,16,3,4,3 - 5 years,2,0,2
45-54,No,Travel_Rarely,500 - 1000,Human Resources,< 10 km,2,Medical,1,103,2,Male,> 70,3,2,Human Resources,2,Divorced,"5,000 - 10,000",10425,> 5 years,Y,Yes,22,4,4,80,1,16,2,3,3 - 5 years,2,0,2
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,1,Life Sciences,1,104,4,Male,40 - 70,2,2,Laboratory Technician,4,Married,"5,000 - 10,000",15998,> 2 ,Y,Yes,12,3,3,80,2,10,1,2, 6 - 12 years,8,3,0
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Medical,1,105,2,Male,<40,2,1,Research Scientist,3,Single,"< 5,000",26278,> 2 ,Y,No,18,3,1,80,0,6,3,3, 6 - 12 years,4,0,4
>55,No,Travel_Rarely,below 500,Sales,< 10 km,2,Life Sciences,1,106,1,Male,40 - 70,3,3,Sales Executive,4,Married,">10,000",18092,> 5 years,Y,No,14,3,4,80,1,24,4,3,< 2 years,0,1,0
35-44,No,Non-Travel,500 - 1000,Research & Development,< 10 km,3,Medical,1,107,2,Female,> 70,1,2,Research Scientist,4,Divorced,"5,000 - 10,000",15717,> 5 years,Y,Yes,12,3,4,80,3,17,3,3,> 12 years,11,1,9
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,2,Medical,1,110,1,Male,> 70,3,2,Manufacturing Director,2,Married,"< 5,000",17736,> 2 ,Y,No,15,3,3,80,0,5,2,3,3 - 5 years,2,1,3
>55,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Life Sciences,1,112,4,Male,40 - 70,1,3,Manufacturing Director,4,Single,"5,000 - 10,000",21698,3 - 5 years,Y,No,11,3,1,80,0,37,3,2, 6 - 12 years,4,0,2
<25,No,Travel_Rarely,500 - 1000,Sales,< 10 km,1,Technical Degree,1,113,3,Male,40 - 70,3,1,Sales Representative,1,Divorced,"< 5,000",9518,> 5 years,Y,No,13,3,3,80,1,3,3,3,< 2 years,0,0,0
45-54,No,Travel_Rarely,below 500,Research & Development,< 10 km,4,Life Sciences,1,116,4,Male,> 70,3,1,Laboratory Technician,4,Married,"< 5,000",18725,> 5 years,Y,No,23,4,2,80,2,10,4,3,3 - 5 years,2,0,3
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,117,3,Male,> 70,2,2,Healthcare Representative,4,Married,"< 5,000",15830,> 2 ,Y,No,19,3,1,80,3,11,3,3, 6 - 12 years,10,10,8
45-54,Yes,Travel_Rarely,500 - 1000,Sales,< 10 km,2,Medical,1,118,3,Male,40 - 70,2,3,Sales Executive,4,Single,"5,000 - 10,000",13596,> 2 ,Y,No,16,3,4,80,0,9,3,3, 6 - 12 years,8,4,7
35-44,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,119,3,Male,> 70,2,4,Healthcare Representative,2,Married,">10,000",14115,> 2 ,Y,No,22,4,4,80,1,22,3,2,> 12 years,3,11,11
45-54,No,Travel_Rarely,500 - 1000,Sales,> 20km,4,Marketing,1,120,3,Male,> 70,3,2,Sales Executive,4,Single,"5,000 - 10,000",8423,> 2 ,Y,Yes,22,4,4,80,0,11,2,1, 6 - 12 years,7,1,0
25-34,No,Travel_Rarely," >1,000",Sales,< 10 km,2,Medical,1,121,3,Female,40 - 70,2,2,Sales Executive,2,Divorced,"5,000 - 10,000",19760,> 2 ,Y,Yes,12,3,2,80,3,11,4,2, 6 - 12 years,8,2,7
45-54,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,3,Medical,1,124,3,Male,<40,2,3,Healthcare Representative,1,Married,">10,000",3142,> 2 ,Y,Yes,13,3,3,80,1,21,5,2, 6 - 12 years,9,9,5
25-34,No,Travel_Rarely," >1,000",Sales,< 10 km,4,Medical,1,125,2,Male,> 70,3,2,Sales Executive,3,Single,"5,000 - 10,000",24301,> 2 ,Y,No,16,3,1,80,0,12,0,3, 6 - 12 years,8,5,7
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Technical Degree,1,126,1,Female,40 - 70,3,3,Research Director,3,Married,">10,000",24001,> 5 years,Y,No,12,3,1,80,1,16,5,1,3 - 5 years,3,0,3
<25,No,Travel_Rarely," >1,000",Sales,< 10 km,2,Other,1,128,1,Female,<40,3,2,Sales Executive,3,Married,"< 5,000",17519,> 2 ,Y,No,21,4,1,80,1,4,2,2,3 - 5 years,2,0,2
25-34,No,Non-Travel,below 500,Sales,< 10 km,3,Medical,1,129,2,Male,40 - 70,3,2,Sales Executive,3,Married,"< 5,000",8863,> 2 ,Y,No,15,3,2,80,0,5,3,4,3 - 5 years,4,0,4
>55,No,Travel_Rarely,500 - 1000,Sales,< 10 km,4,Medical,1,131,4,Male,<40,3,4,Sales Executive,3,Single,">10,000",24409,> 2 ,Y,No,13,3,3,80,0,38,1,2,> 12 years,10,1,8
35-44,No,Non-Travel,below 500,Research & Development,> 20km,3,Medical,1,132,2,Male,40 - 70,3,2,Laboratory Technician,2,Married,"< 5,000",25043,3 - 5 years,Y,No,12,3,3,80,1,17,3,4,3 - 5 years,2,1,2
35-44,Yes,Travel_Rarely,500 - 1000,Human Resources,< 10 km,4,Human Resources,1,133,3,Male,40 - 70,3,1,Human Resources,1,Divorced,"< 5,000",23648,3 - 5 years,Y,Yes,22,4,4,80,0,7,3,3,3 - 5 years,2,0,2
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,1,Life Sciences,1,134,4,Male,> 70,3,1,Research Scientist,1,Single,"< 5,000",15178,> 2 ,Y,No,13,3,4,80,0,1,2,3,< 2 years,0,0,0
<25,Yes,Travel_Frequently,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,137,4,Female,40 - 70,2,1,Laboratory Technician,4,Single,"< 5,000",19783,> 2 ,Y,Yes,18,3,2,80,0,1,5,3,< 2 years,0,1,0
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Other,1,138,1,Female,40 - 70,3,2,Research Scientist,3,Single,"< 5,000",12482,> 2 ,Y,No,14,3,3,80,0,16,3,3,> 12 years,13,2,10
35-44,No,Non-Travel," >1,000",Research & Development,< 10 km,2,Life Sciences,1,139,3,Male,> 70,2,2,Healthcare Representative,4,Divorced,"5,000 - 10,000",15850,3 - 5 years,Y,No,14,3,4,80,1,17,2,4,< 2 years,0,0,0
>55,No,Non-Travel," >1,000",Human Resources,< 10 km,4,Human Resources,1,140,3,Female,<40,2,5,Manager,4,Married,">10,000",21922,> 5 years,Y,No,21,4,4,80,1,30,3,3,3 - 5 years,2,2,2
45-54,No,Travel_Frequently," >1,000",Research & Development,< 10 km,3,Life Sciences,1,141,1,Female,> 70,3,5,Research Director,2,Married,">10,000",9755,> 5 years,Y,Yes,19,3,1,80,0,28,1,2, 6 - 12 years,3,0,7
25-34,Yes,Travel_Rarely,below 500,Sales,< 10 km,3,Marketing,1,142,3,Male,40 - 70,2,2,Sales Executive,3,Single,"5,000 - 10,000",26959,> 2 ,Y,Yes,11,3,4,80,0,6,1,3, 6 - 12 years,4,0,3
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,1,Medical,1,143,4,Male,40 - 70,2,1,Research Scientist,4,Married,"< 5,000",26897,> 2 ,Y,No,11,3,3,80,2,2,2,3,< 2 years,2,2,1
